latitude,longitude,date,time-stamp,total_waiting_time,trail_number,local_group_number,group_starting_time,group_ending_time,next_stop_distance,time_level,zone,Day,wifi_count,honks,rsi
23.49468374,87.31689333,06/30/2019,09:52:59,8,13,1,09:52:53,9:53:06,54.4507519406,2,highway,Sunday,9,0,9.881575535714287
23.4942809,87.31719691,06/30/2019,09:54:29,90,13,2,09:53:35,9:55:19,92.7306132571,2,highway,Sunday,13,0,9.87277335142857
23.49356798,87.31672512,06/30/2019,09:56:04,10,13,3,09:56:01,9:56:12,44.7948557876,2,highway,Sunday,9,0,9.734731058333333
23.49325984,87.31644217,06/30/2019,09:56:33,2,13,4,09:56:33,9:56:35,30.8348284723,2,highway,Sunday,0,0,9.034826
23.49343346,87.3162064,06/30/2019,09:58:05,126,13,5,09:56:54,9:59:13,1241.33738103,2,highway,Sunday,11,0,9.703925560000007
23.50003739,87.3063918,06/30/2019,10:02:18,1,13,6,10:02:18,10:02:19,375.825083854,2,highway,Sunday,0,0,6.95825975
23.50328535,87.30741143,06/30/2019,10:04:02,3,13,7,10:03:59,10:04:04,496.454738358,2,highway,Sunday,10,0,7.759117150000001
23.50716544,87.30982006,06/30/2019,10:05:36,1,13,8,10:05:36,10:05:37,2169.4581253,2,highway,Sunday,0,0,7.4251252
23.52664362,87.3110425,06/30/2019,10:09:34,9,13,9,10:09:22,10:09:41,195.427542279,2,normal_city,Sunday,2,0,8.205395540000001
23.52839995,87.31111309,06/30/2019,10:11:30,2,13,10,10:11:30,10:11:34,733.437400305,2,normal_city,Sunday,0,0,7.331271240000001
23.53341856,87.30644467,06/30/2019,10:12:42,4,13,11,10:12:42,10:12:47,619.866397412,2,normal_city,Sunday,7,0,-0.7091725000000001
23.53695401,87.30174354,06/30/2019,10:13:59,4,13,12,10:13:59,10:14:09,440.944760701,2,normal_city,Sunday,10,0,8.14229800909091
23.53509249,87.29792439,06/30/2019,10:15:13,3,13,13,10:15:10,10:15:15,26.1171835219,2,normal_city,Sunday,0,0,9.117027283333334
23.53511794,87.29766971,06/30/2019,10:15:35,24,13,14,10:15:20,10:16:07,293.079952755,2,normal_city,Sunday,7,0,8.421111754166668
23.53760448,87.2967162,06/30/2019,10:17:55,28,13,15,10:17:50,10:18:23,403.027227968,2,normal_city,Sunday,21,0,8.414632894117647
23.53920646,87.29316985,06/30/2019,10:19:31,2,13,16,10:19:31,10:19:36,802.364093366,2,normal_city,Sunday,66,0,7.937881416666667
23.54641479,87.29281099,06/30/2019,10:21:49,15,13,17,10:21:49,10:22:04,932.699392736,2,normal_city,Sunday,13,0,8.66711518125
23.54401433,87.28404394,06/30/2019,10:26:02,1,13,18,10:26:02,10:26:03,315.14919053,2,normal_city,Sunday,0,0,7.234787000000001
23.54536679,87.28132706,06/30/2019,10:26:58,1,13,19,10:26:58,10:26:59,227.512820003,2,normal_city,Sunday,0,0,6.8277664
23.54704307,87.28260686,06/30/2019,10:27:43,1,13,20,10:27:43,10:27:44,172.350247325,2,normal_city,Sunday,16,0,7.53645315
23.54828394,87.28362004,06/30/2019,10:28:21,1,13,21,10:28:21,10:28:22,22.97962511,2,normal_city,Sunday,0,0,6.509346
23.54843536,87.28377346,06/30/2019,10:28:34,2,13,22,10:28:34,10:28:39,387.394978706,2,normal_city,Sunday,10,0,6.345339533333333
23.55127892,87.28596928,06/30/2019,10:29:48,6,13,23,10:29:48,10:29:56,879.227304195,2,normal_city,Sunday,0,0,9.022320177777779
23.55909702,87.28467886,06/30/2019,10:32:53,2,13,24,10:32:53,10:32:55,879.227304195,2,market_place,Sunday,0,0,8.611053333333333
