latitude,longitude,date,time-stamp,total_waiting_time,trail_number,local_group_number,group_starting_time,group_ending_time,next_stop_distance,time_level,zone,Day,wifi_count,honks,rsi
23.4942011,87.317165,06/27/2019,17:02:51,1,24,1,17:02:51,17:02:52,137.108044011,4,highway,Thursday,0,0,8.123898
23.49316054,87.31644367,06/27/2019,17:03:50,3,24,2,17:03:50,17:03:53,25.9493416797,4,highway,Thursday,4,0,8.123898
23.49331601,87.3162539,06/27/2019,17:05:00,101,24,3,17:04:00,17:06:18,1263.73434841,4,highway,Thursday,7,0,8.123898
23.5000156,87.30624348,06/27/2019,17:09:43,2,24,4,17:09:43,17:09:45,53.2136902364,4,highway,Thursday,3,0,8.123898
23.50034347,87.30586335,06/27/2019,17:10:15,2,24,5,17:10:13,17:10:17,367.057919749,4,highway,Thursday,1,0,8.123898
23.50329532,87.30747464,06/27/2019,17:11:49,1,24,6,17:11:47,17:11:50,874.211697494,4,highway,Thursday,0,0,8.123898
23.5106322,87.31055534,06/27/2019,17:14:12,9,24,7,17:14:05,17:14:20,1717.91468283,4,highway,Thursday,1,0,8.123898
23.52607362,87.31110282,06/27/2019,17:17:05,1,24,8,17:17:05,17:17:06,238.335617111,4,normal_city,Thursday,0,0,8.123898
23.5282166,87.3111493,06/27/2019,17:19:20,2,24,9,17:19:20,17:19:22,743.057639231,4,normal_city,Thursday,0,0,8.123898
23.53335627,87.30649121,06/27/2019,17:20:43,2,24,10,17:20:43,17:20:45,650.910486303,4,normal_city,Thursday,0,0,8.123898
23.53687168,87.30138586,06/27/2019,17:22:01,4,24,11,17:21:59,17:22:04,181.941990161,4,normal_city,Thursday,11,0,8.123898
23.53610604,87.29980858,06/27/2019,17:22:37,1,24,12,17:22:37,17:22:38,246.594256366,4,normal_city,Thursday,0,0,8.123898
23.53512829,87.29763747,06/27/2019,17:23:30,30,24,13,17:23:14,17:23:56,15.9794539876,4,normal_city,Thursday,19,0,8.123898
23.53516053,87.29748472,06/27/2019,17:24:01,2,24,14,17:24:01,17:24:07,172.592273824,4,normal_city,Thursday,5,0,8.123898
23.53588503,87.29598747,06/27/2019,17:24:59,2,24,15,17:24:59,17:25:01,216.854243213,4,normal_city,Thursday,18,0,8.123898
23.53770697,87.29674621,06/27/2019,17:26:13,5,24,16,17:26:13,17:26:43,344.026649021,4,normal_city,Thursday,29,0,8.123898
23.53915966,87.29376663,06/27/2019,17:27:57,1,24,17,17:27:57,17:27:58,37.7902214387,4,normal_city,Thursday,0,0,8.123898
23.53908771,87.29340433,06/27/2019,17:28:10,2,24,18,17:28:10,17:28:14,491.822909946,4,normal_city,Thursday,0,0,8.123898
23.54204992,87.28982152,06/27/2019,17:30:07,14,24,19,17:30:05,17:30:20,301.464461598,4,normal_city,Thursday,5,0,8.123898
23.54263715,87.28693444,06/27/2019,17:32:35,2,24,20,17:32:35,17:32:37,650.705073139,4,normal_city,Thursday,0,0,8.123898
23.54542274,87.2813207,06/27/2019,17:35:02,4,24,21,17:35:00,17:35:05,221.659469782,4,normal_city,Thursday,9,0,8.123898
23.54701787,87.28262483,06/27/2019,17:35:53,2,24,22,17:35:53,17:35:55,176.665647603,4,normal_city,Thursday,0,0,8.123898
23.54828286,87.28367343,06/27/2019,17:36:39,4,24,23,17:36:37,17:36:48,403.782097307,4,normal_city,Thursday,10,0,8.123898
23.55124972,87.28595748,06/27/2019,17:38:14,1,24,24,17:38:14,17:38:15,491.507778261,4,normal_city,Thursday,9,0,8.123898
23.55564924,87.28549119,06/27/2019,17:40:35,16,24,25,17:40:05,17:40:39,702.338971699,4,market_place,Thursday,4,0,8.123898
23.56167157,87.28341355,06/27/2019,17:43:05,3,24,26,17:43:03,17:43:07,23.7966820182,4,market_place,Thursday,0,0,8.123898
23.56186045,87.28330378,06/27/2019,17:43:15,1,24,27,17:43:15,17:43:16,298.957791644,4,market_place,Thursday,0,0,8.123898
23.56424913,87.28195754,06/27/2019,17:44:08,2,24,28,17:44:08,17:44:12,47.6846705314,4,market_place,Thursday,7,0,8.123898
23.56443243,87.2823805,06/27/2019,17:45:00,12,24,29,17:44:42,17:45:11,47.6846705314,4,market_place,Thursday,7,0,8.123898
