latitude,longitude,date,time-stamp,total_waiting_time,trail_number,local_group_number,group_starting_time,group_ending_time,next_stop_distance,time_level,zone,Day,wifi_count,honks,rsi
23.55931308,87.28468681,07/01/2019,10:00:08,19,15,1,09:59:59,10:00:23,432.238861633,2,market_place,Monday,4,12,6.099503179999998
23.55550105,87.28551683,07/01/2019,10:01:51,1,15,2,10:01:51,10:01:52,374.354011452,2,market_place,Monday,1,1,5.801857
23.5524045,87.28695816,07/01/2019,10:03:17,1,15,3,10:03:17,10:03:18,166.520716313,2,normal_city,Monday,3,0,5.5684203
23.551192,87.28599936,07/01/2019,10:04:00,3,15,4,10:03:57,10:04:02,149.69016096,2,normal_city,Monday,10,0,6.3389537
23.55011521,87.28511801,07/01/2019,10:05:07,64,15,5,10:04:42,10:06:11,410.137877206,2,normal_city,Monday,10,33,7.467155791111111
23.547125,87.28276235,07/01/2019,10:07:50,5,15,6,10:07:42,10:07:55,668.255303334,2,normal_city,Monday,9,8,7.2113571499999995
23.54427676,87.28853492,07/01/2019,10:11:46,2,15,7,10:11:46,10:11:48,314.351623178,2,normal_city,Monday,0,0,5.878468866666666
23.54171667,87.28984299,07/01/2019,10:13:06,1,15,8,10:13:06,10:13:07,460.3253235,2,normal_city,Monday,16,2,6.90438835
23.53910429,87.29334597,07/01/2019,10:14:14,2,15,9,10:14:14,10:14:16,45.6543508905,2,normal_city,Monday,0,1,9.261474566666667
23.53912301,87.29379335,07/01/2019,10:14:22,1,15,10,10:14:22,10:14:23,75.8374467808,2,normal_city,Monday,0,2,6.891219850000001
23.53890293,87.29449748,07/01/2019,10:14:39,2,15,11,10:14:39,10:14:41,277.710474427,2,normal_city,Monday,50,2,7.560796
23.53760174,87.29682273,07/01/2019,10:15:45,6,15,12,10:15:36,10:15:49,185.329946566,2,normal_city,Monday,28,9,8.168523485714285
23.53616704,87.29589748,07/01/2019,10:16:38,15,15,13,10:16:21,10:16:51,144.299070318,2,normal_city,Monday,39,18,7.520429116129033
23.53540914,87.29704646,07/01/2019,10:17:29,1,15,14,10:17:29,10:17:30,54.8882292932,2,normal_city,Monday,0,2,7.846504299999999
23.53567524,87.29749994,07/01/2019,10:18:51,280,15,15,10:17:43,10:24:56,49.1583973844,2,normal_city,Monday,27,196,8.396474489170506
23.53565099,87.29798142,07/01/2019,10:25:08,4,15,16,10:25:08,10:25:14,59.6025268878,2,normal_city,Monday,15,0,7.666939757142857
23.53513158,87.29812583,07/01/2019,10:26:01,1,15,17,10:26:01,10:26:02,118.326936871,2,normal_city,Monday,0,0,8.527656499999999
23.53539167,87.29700034,07/01/2019,10:26:49,4,15,18,10:26:49,10:26:56,101.16149783,2,normal_city,Monday,0,8,8.57942575
23.53582894,87.29613016,07/01/2019,10:27:26,4,15,19,10:27:18,10:27:29,533.261782865,2,normal_city,Monday,12,6,8.543814433333333
23.53305649,87.30039832,07/01/2019,10:29:17,1,15,20,10:29:17,10:29:18,1237.60887018,2,normal_city,Monday,0,2,9.905517499999998
23.52744548,87.31088232,07/01/2019,10:31:28,1,15,21,10:31:28,10:31:29,25.7769520678,2,normal_city,Monday,0,1,9.320129000000001
23.52753337,87.31111628,07/01/2019,10:31:45,6,15,22,10:31:40,10:31:56,259.296838013,2,normal_city,Monday,0,13,7.663135311764707
23.52520319,87.3112143,07/01/2019,10:34:05,2,15,23,10:34:05,10:34:07,643.854239619,2,normal_city,Monday,1,2,8.830520666666667
23.5194132,87.31128175,07/01/2019,10:35:20,1,15,24,10:35:20,10:35:21,1781.58103706,2,highway,Monday,0,1,7.20845025
23.50371803,87.30776983,07/01/2019,10:38:32,1,15,25,10:38:32,10:38:33,419.639910119,2,highway,Monday,0,0,8.0356445
23.50030272,87.30601895,07/01/2019,10:39:58,4,15,26,10:39:52,10:40:01,1246.83190982,2,highway,Monday,4,5,8.203718480000001
23.49499256,87.31678789,07/01/2019,10:42:32,1,15,27,10:42:32,10:42:33,29.9454997843,2,highway,Monday,0,1,9.5894852
23.49472988,87.31685263,07/01/2019,10:42:43,1,15,28,10:42:43,10:42:44,29.9454997843,2,highway,Monday,0,0,9.201622
