latitude,longitude,date,time-stamp,total_waiting_time,trail_number,local_group_number,group_starting_time,group_ending_time,next_stop_distance,time_level,zone,Day,wifi_count,honks,rsi
23.55733902,87.28582996,07/02/2019,09:03:57,2,10,1,09:03:57,9:03:59,160.82165699,2,market_place,Tuesday,3,3,8.2080231
23.55593189,87.28619469,07/02/2019,09:05:11,19,10,2,09:05:02,9:05:27,395.04642035,2,market_place,Tuesday,2,10,8.159959061538462
23.55247718,87.28709883,07/02/2019,09:07:21,2,10,3,09:07:21,9:07:27,17.6312268983,2,normal_city,Tuesday,3,4,8.112259057142857
23.55235098,87.28699411,07/02/2019,09:07:32,1,10,4,09:07:32,9:07:33,574.004273076,2,normal_city,Tuesday,4,2,8.228378
23.54819074,87.28366027,07/02/2019,09:09:19,72,10,5,09:09:06,9:10:19,635.564455402,2,normal_city,Tuesday,6,67,7.9731696959459475
23.54409832,87.28801293,07/02/2019,09:13:50,1,10,6,09:13:50,9:13:51,770.996220842,2,normal_city,Tuesday,0,2,5.3505479000000005
23.5391392,87.29329889,07/02/2019,09:16:45,3,10,7,09:16:45,9:16:51,39.9608988094,2,normal_city,Tuesday,73,7,9.153050285714286
23.53919752,87.29368569,07/02/2019,09:17:00,1,10,8,09:17:00,9:17:01,65.7193485797,2,normal_city,Tuesday,63,2,9.3500595
23.5390833,87.29431821,07/02/2019,09:17:27,11,10,9,09:17:19,9:17:33,309.258370597,2,normal_city,Tuesday,60,15,7.826706953333333
23.53758306,87.29687266,07/02/2019,09:18:34,3,10,10,09:18:28,9:18:35,218.265215763,2,normal_city,Tuesday,19,8,8.9972153125
23.53571988,87.29754642,07/02/2019,09:20:46,243,10,11,09:20:07,9:25:15,41.8191611139,2,normal_city,Tuesday,25,287,8.464680206796123
23.53574312,87.29795585,07/02/2019,09:26:24,75,10,12,09:25:30,9:27:05,861.559818946,2,normal_city,Tuesday,15,94,7.191789293749999
23.53084818,87.30450688,07/02/2019,09:31:30,1,10,13,09:31:30,9:31:31,776.217870718,2,normal_city,Tuesday,0,1,8.737152
23.52749914,87.31118717,07/02/2019,09:33:27,3,10,14,09:33:27,9:33:30,26.8077082604,2,normal_city,Tuesday,2,4,7.57535935
23.52726424,87.31112798,07/02/2019,09:33:43,1,10,15,09:33:43,9:33:44,93.2138455225,2,normal_city,Tuesday,0,2,10.140144
23.52643734,87.3112782,07/02/2019,09:35:33,1,10,16,09:35:33,9:35:34,3342.21962184,2,normal_city,Tuesday,4,2,8.2439425
23.49646309,87.31371325,07/02/2019,09:44:05,1,10,17,09:44:05,9:44:06,3342.21962184,2,highway,Tuesday,4,1,8.45104225
