latitude,longitude,date,time-stamp,total_waiting_time,trail_number,local_group_number,group_starting_time,group_ending_time,next_stop_distance,time_level,zone,Day,wifi_count,honks,rsi
23.56410683,87.28339876,06/27/2019,07:06:25,1,4,1,07:06:25,7:06:26,359.051391103,1,market_place,Thursday,4,2,8.546806499999999
23.56090484,87.28385367,06/27/2019,07:07:55,2,4,2,07:07:55,7:07:57,199.517611808,1,market_place,Thursday,0,3,8.4650065
23.5593116,87.28475402,06/27/2019,07:08:53,16,4,3,07:08:43,7:09:06,426.704212171,1,market_place,Thursday,7,24,9.683156354166664
23.55553219,87.28547932,06/27/2019,07:10:55,3,4,4,07:10:55,7:11:01,61.3005182434,1,market_place,Thursday,3,7,9.535443942857142
23.55503471,87.28573847,06/27/2019,07:11:31,25,4,5,07:11:22,7:11:51,216.195237122,1,market_place,Thursday,4,30,9.454849283333335
23.55331551,87.28672909,06/27/2019,07:12:44,2,4,6,07:12:44,7:12:54,1080.98878852,1,normal_city,Thursday,1,11,9.284548627272725
23.54384791,87.28432097,06/27/2019,07:17:26,1,4,7,07:17:26,7:17:27,385.766021317,1,normal_city,Thursday,0,2,12.193176000000001
23.5442238,87.288083,06/27/2019,07:19:15,8,4,8,07:19:04,7:19:18,275.196458442,1,normal_city,Thursday,10,15,9.1677826
23.54307053,87.29047161,06/27/2019,07:20:09,1,4,9,07:20:09,7:20:10,158.57778595,1,normal_city,Thursday,27,2,11.023613000000001
23.54174903,87.28988677,06/27/2019,07:20:56,7,4,10,07:20:48,7:21:09,446.845196648,1,normal_city,Thursday,23,22,9.393266886363637
23.53918312,87.29326026,06/27/2019,07:22:21,1,4,11,07:22:21,7:22:22,55.7517556287,1,normal_city,Thursday,0,2,9.638565
23.5392036,87.2938067,06/27/2019,07:22:31,2,4,12,07:22:31,7:22:34,528.980936849,1,normal_city,Thursday,0,4,8.908931875
23.53540617,87.2969322,06/27/2019,07:24:46,5,4,13,07:24:46,7:24:54,70.0416015116,1,normal_city,Thursday,12,9,8.695382
23.53572969,87.29752171,06/27/2019,07:25:42,35,4,14,07:25:11,7:26:08,1628.12972607,1,normal_city,Thursday,14,53,9.01153010689655
23.52820053,87.3112188,06/27/2019,07:30:34,115,4,15,07:30:22,7:32:27,975.667613067,1,normal_city,Thursday,3,126,9.71415132063492
23.51942659,87.31131568,06/27/2019,07:36:33,2,4,16,07:36:33,7:36:35,2552.86307104,1,highway,Thursday,0,3,10.514439999999999
23.49655662,87.3135116,06/27/2019,07:44:09,1,4,17,07:44:09,7:44:10,2552.86307104,1,highway,Thursday,0,2,9.541603
