latitude,longitude,date,time-stamp,total_waiting_time,trail_number,local_group_number,group_starting_time,group_ending_time,next_stop_distance,time_level,zone,Day,wifi_count,honks,rsi
23.49421245,87.31683595,07/03/2019,18:04:22,1,39,1,18:04:22,18:04:23,74.8816391671,4,highway,Wednesday,0,2,8.2200013
23.49357655,87.31659425,07/03/2019,18:05:18,2,39,2,18:05:18,18:05:23,49.5658093114,4,highway,Wednesday,5,3,9.188057
23.49322734,87.31629217,07/03/2019,18:05:58,10,39,3,18:05:49,18:06:08,428.042075499,4,highway,Wednesday,7,20,9.04647748
23.4963371,87.31381818,07/03/2019,18:07:21,5,39,4,18:07:19,18:07:34,848.561167923,4,highway,Wednesday,12,13,9.401686750000001
23.49992963,87.30647658,07/03/2019,18:09:41,1,39,5,18:09:41,18:09:42,74.2125277858,4,highway,Wednesday,0,2,5.1877441
23.50032919,87.30589364,07/03/2019,18:10:08,2,39,6,18:10:08,18:10:10,363.888614295,4,highway,Wednesday,3,1,9.102661
23.50325333,87.30749585,07/03/2019,18:11:35,16,39,7,18:11:25,18:11:46,863.270822592,4,highway,Wednesday,10,8,5.722629168181818
23.51048621,87.31057226,07/03/2019,18:13:29,1,39,8,18:13:29,18:13:30,1989.41082491,4,highway,Wednesday,0,2,9.728347500000002
23.52837033,87.31112119,07/03/2019,18:18:28,5,39,9,18:18:25,18:18:32,1359.89361727,4,normal_city,Wednesday,0,7,8.403453875
23.5369204,87.30158356,07/03/2019,18:20:55,3,39,10,18:20:53,18:20:58,191.550613906,4,normal_city,Wednesday,0,2,7.3772406
23.53603895,87.29996919,07/03/2019,18:21:34,1,39,11,18:21:34,18:21:35,15.3104547535,4,normal_city,Wednesday,0,2,9.1333847
23.53605318,87.29981981,07/03/2019,18:21:36,1,39,12,18:21:36,18:21:37,199.896370115,4,normal_city,Wednesday,0,2,9.9845275
23.53507756,87.29817286,07/03/2019,18:21:59,1,39,13,18:21:59,18:22:00,39.6805286832,4,normal_city,Wednesday,0,1,8.881996000000001
23.53512001,87.29778639,07/03/2019,18:22:43,72,39,14,18:22:10,18:24:13,128.299349053,4,normal_city,Wednesday,12,68,9.363056417741934
23.53553715,87.296613,07/03/2019,18:24:34,1,39,15,18:24:34,18:24:35,78.07177005,4,normal_city,Wednesday,0,2,8.6629255
23.53591382,87.29596671,07/03/2019,18:24:56,11,39,16,18:24:48,18:25:20,211.357753044,4,normal_city,Wednesday,23,22,9.333666266666667
23.53766962,87.2967609,07/03/2019,18:26:12,7,39,17,18:26:12,18:26:29,365.633355695,4,normal_city,Wednesday,40,9,5.3795462277777775
23.53914051,87.29355309,07/03/2019,18:27:42,1,39,18,18:27:42,18:27:43,27.0117969224,4,normal_city,Wednesday,0,2,7.9877625000000005
23.539094,87.29329302,07/03/2019,18:27:48,3,39,19,18:27:46,18:27:50,483.443758433,4,normal_city,Wednesday,46,5,8.01888428
23.54206841,87.28983412,07/03/2019,18:29:31,17,39,20,18:29:21,18:29:46,127.477117667,4,normal_city,Wednesday,11,10,9.195175242307691
23.5431171,87.29033937,07/03/2019,18:30:19,2,39,21,18:30:19,18:30:22,224.252418936,4,normal_city,Wednesday,13,4,9.3895645
23.54423309,87.288507,07/03/2019,18:31:01,1,39,22,18:31:01,18:31:02,52.1172898584,4,normal_city,Wednesday,21,2,10.37597635
23.54407128,87.28802717,07/03/2019,18:31:45,9,39,23,18:31:21,18:31:47,90.7911541095,4,normal_city,Wednesday,8,12,9.26564598148148
23.54335995,87.28758991,07/03/2019,18:32:08,1,39,24,18:32:08,18:32:09,505.090208105,4,normal_city,Wednesday,0,2,8.963402
23.54449327,87.28279175,07/03/2019,18:33:46,4,39,25,18:33:41,18:33:49,427.109290409,4,normal_city,Wednesday,0,7,8.960603444444445
23.54825854,87.28362012,07/03/2019,18:36:05,11,39,26,18:35:53,18:36:11,248.291377566,4,normal_city,Wednesday,9,15,9.008573010526316
23.55008107,87.28502744,07/03/2019,18:36:52,1,39,27,18:36:52,18:36:53,168.265583656,4,normal_city,Wednesday,0,2,8.6569365
23.55129614,87.28601135,07/03/2019,18:37:41,11,39,28,18:37:34,18:37:49,166.630366991,4,normal_city,Wednesday,9,14,6.94568345625
23.5524763,87.28701877,07/03/2019,18:38:37,3,39,29,18:38:30,18:38:40,776.361162867,4,normal_city,Wednesday,10,11,8.809192881818182
23.55909669,87.28459939,07/03/2019,18:41:37,2,39,30,18:41:37,18:41:39,280.536465274,4,market_place,Wednesday,0,3,1.8019409333333334
23.56143259,87.28355943,07/03/2019,18:42:36,3,39,31,18:42:36,18:42:41,266.366000623,4,market_place,Wednesday,0,6,9.056775383333333
23.56381781,87.28380113,07/03/2019,18:43:36,1,39,32,18:43:36,18:43:37,266.366000623,4,market_place,Wednesday,2,2,9.5715255
