next_stop_distance,total_waiting_time,wifi_count,honks,rsi_z,rsi_y,rsi_x,gyro_z,gyro_y,gyro_x,Signal,bus_stop,Turn,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end
426.559914164,107,5,27,-3.11481068155039,2.63835203635504,4.72275656183101,-0.010043123253976,-0.002561623653166,0.002652189362382,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0
65.2941959529,4,1,5,-5.58214116,5.03826447,3.231201198,0.046448064006123,0.106033325228571,0.006513634748694,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
430.616373637,14,1,4,-0.74884796129,2.359275803,9.02888031,-0.013761116422726998,0.004807752360939,-0.007007484141686999,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
153.440293371,8,7,4,-2.717002105,3.09573136,8.97692405,-0.020640626195204,-0.002871922239112,-0.001113580503571,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
254.353078033,4,0,0,-1.62205251666667,3.37820433333333,8.92389433333334,-0.007493644103448002,-0.000849756682759,0.016240613131035,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
405.678255104,1,0,0,-2.1483841,3.1583405,9.660117999999999,0.0272186306,-0.00823364294,-0.029379272999999997,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
884.1473104789999,7,10,3,-1.63500741076923,2.9513338415384602,8.62296246153846,0.012200354873438,0.00901055235,-0.022071123454688,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
66.0919232138,1,0,1,-0.498771677,4.33747865,8.6246185,0.0349487302,0.15114745965999998,0.06379089328,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
505.40162366199996,25,8,5,-1.78174011704848,0.708490083636364,9.27105393030303,0.005911274675265,0.00974207749358,-0.007245946836173,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
276.685829116,29,40,4,0.121575612105263,0.269546510789474,9.21844284736842,0.032793844806522005,0.007178111599355,-0.012865702329838998,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
243.69968329,3,14,1,-0.23565368,3.26128848,9.3112792,0.06866518489583301,0.02593930383104201,-0.064417519208333,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0
74.707791257,1,9,1,2.84712215,2.85786435,11.620964,0.010040283050000001,0.0018096915,0.1254959111,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
35.0610477032,19,8,6,2.44090641212121,5.2280888181818215,7.75407177272727,-0.004329163685185,-0.004958447514765,0.002865167015284001,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
92.6233995617,191,12,18,-3.74029480614634,1.50385236824258,5.2999133648,-0.0016291483740670002,0.006301455955531,0.005746584392850001,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
1513.83128373,6,10,0,1.4333474285714298,5.72971345,7.998193978571429,0.003830853428824,0.013115602307353001,0.024107316093471,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
3530.09760705,77,2,23,-0.822758366858491,3.5967041594339597,8.44527956301887,-0.0019161181879020002,-0.015159606759872,-0.009834289487121001,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
183.38802049400002,11,2,17,-0.210997607272727,3.2302380090909097,8.88805361515152,-0.0076714035194069986,-0.002916124066358,0.009525911720370001,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
183.38802049400002,2,0,3,-0.810419706666667,6.68739823333333,6.88642883333333,-0.009085082713333,-0.019499717533333003,-0.08997090662666699,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
53.611475714799994,71,8,38,4.9713182764044905,7.360734904494388,4.4621127629213495,0.000938450551852,0.003539098580043,0.003573901025785,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
147.331498254,87,14,61,4.95695047391304,8.78416176847826,0.7855770313152171,-0.008328301026101999,-0.008629973556850001,-0.0058874338546909995,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
1429.11599899,87,11,44,7.501237047916669,0.435979216885417,-4.872509305625,-0.004355271275529001,0.0042064255606149995,-0.00161556043611,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0
2732.92737012,9,8,14,0.7103820826666669,8.53329169333333,5.21275532666667,0.015662624060274,-0.013940262198629998,0.00249888820137,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0
84.30333476359999,1,0,0,10.2193525,-3.62438965,-5.30561065,0.291369625,-0.2522323614,0.0417511016,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
1358.46700653,2,0,1,2.42861942,8.683483800000001,4.91811222,-0.011310577050000001,0.04754193541666698,-0.038695653658333,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
36.1908487273,7,4,5,6.50521328346154,1.8002289692307698,1.3339703,0.060170530776563,-0.030833482485156008,0.046573877655383,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
395.405107125,24,2,10,9.338540723684213,-2.6943038252631597,-2.313676125,-0.002146022377433,0.001543422329144,0.0016122093128339999,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
27.9175654867,3,3,1,7.034925504117651,-0.126811254117647,0.489767632352941,-0.019587505069156998,0.045758164324458,-0.127885383714458,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
302.156491326,127,27,58,7.796752296407193,-2.84663746407186,-1.2332314125449098,-0.005456791940068,-0.006593376906096999,-0.005713812469688001,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
